ˇ 
ˊ 
ˋ 
˙ 
ㄅ b
ㄅㄚ ba
ㄅㄚˇ ba
ㄅㄚˊ ba
ㄅㄚˋ ba
ㄅㄚ˙ ba
ㄅㄛ bo
ㄅㄛˇ bo
ㄅㄛˊ bo
ㄅㄛˋ bo
ㄅㄛ˙ bo
ㄅㄞ bai
ㄅㄞˇ bai
ㄅㄞˊ bai
ㄅㄞˋ bai
ㄅㄞ˙ bai
ㄅㄟ bei
ㄅㄟˇ bei
ㄅㄟˋ bei
ㄅㄟ˙ bei
ㄅㄠ bao
ㄅㄠˇ bao
ㄅㄠˊ bao
ㄅㄠˋ bao
ㄅㄢ ban
ㄅㄢˇ ban
ㄅㄢˋ ban
ㄅㄣ ben
ㄅㄣˇ ben
ㄅㄣˊ ben
ㄅㄣˋ ben
ㄅㄤ bang
ㄅㄤˇ bang
ㄅㄤˋ bang
ㄅㄥ beng
ㄅㄥˇ beng
ㄅㄥˊ beng
ㄅㄥˋ beng
ㄅㄧ bi
ㄅㄧˇ bi
ㄅㄧˊ bi
ㄅㄧˋ bi
ㄅㄧㄝ bie
ㄅㄧㄝˇ bie
ㄅㄧㄝˊ bie
ㄅㄧㄝˋ bie
ㄅㄧㄠ biao
ㄅㄧㄠˇ biao
ㄅㄧㄠˋ biao
ㄅㄧㄢ bian
ㄅㄧㄢˇ bian
ㄅㄧㄢˊ bian
ㄅㄧㄢˋ bian
ㄅㄧㄣ bin
ㄅㄧㄣˇ bin
ㄅㄧㄣˊ bin
ㄅㄧㄣˋ bin
ㄅㄧㄥ bing
ㄅㄧㄥˇ bing
ㄅㄧㄥˋ bing
ㄅㄨ bu
ㄅㄨˇ bu
ㄅㄨˊ bu
ㄅㄨˋ bu
ㄅㄨㄛˊ buo
ㄆ p
ㄆㄚ pa
ㄆㄚˇ pa
ㄆㄚˊ pa
ㄆㄚˋ pa
ㄆㄚ˙ pa
ㄆㄛ po
ㄆㄛˇ po
ㄆㄛˊ po
ㄆㄛˋ po
ㄆㄞ pai
ㄆㄞˇ pai
ㄆㄞˊ pai
ㄆㄞˋ pai
ㄆㄟ pei
ㄆㄟˇ pei
ㄆㄟˊ pei
ㄆㄟˋ pei
ㄆㄠ pao
ㄆㄠˇ pao
ㄆㄠˊ pao
ㄆㄠˋ pao
ㄆㄡ pou
ㄆㄡˇ pou
ㄆㄡˊ pou
ㄆㄡˋ pou
ㄆㄢ pan
ㄆㄢˇ pan
ㄆㄢˊ pan
ㄆㄢˋ pan
ㄆㄣ pen
ㄆㄣˇ pen
ㄆㄣˊ pen
ㄆㄣˋ pen
ㄆㄤ pang
ㄆㄤˇ pang
ㄆㄤˊ pang
ㄆㄤˋ pang
ㄆㄥ peng
ㄆㄥˇ peng
ㄆㄥˊ peng
ㄆㄥˋ peng
ㄆㄧ pi
ㄆㄧˇ pi
ㄆㄧˊ pi
ㄆㄧˋ pi
ㄆㄧㄚ pia
ㄆㄧㄝ pie
ㄆㄧㄝˇ pie
ㄆㄧㄝˋ pie
ㄆㄧㄠ piao
ㄆㄧㄠˇ piao
ㄆㄧㄠˊ piao
ㄆㄧㄠˋ piao
ㄆㄧㄢ pian
ㄆㄧㄢˇ pian
ㄆㄧㄢˊ pian
ㄆㄧㄢˋ pian
ㄆㄧㄣ pin
ㄆㄧㄣˇ pin
ㄆㄧㄣˊ pin
ㄆㄧㄣˋ pin
ㄆㄧㄥ ping
ㄆㄧㄥˇ ping
ㄆㄧㄥˊ ping
ㄆㄧㄥˋ ping
ㄆㄨ pu
ㄆㄨˇ pu
ㄆㄨˊ pu
ㄆㄨˋ pu
ㄇ m
ㄇㄚ ma
ㄇㄚˇ ma
ㄇㄚˊ ma
ㄇㄚˋ ma
ㄇㄚ˙ ma
ㄇㄛ mo
ㄇㄛˇ mo
ㄇㄛˊ mo
ㄇㄛˋ mo
ㄇㄛ˙ mo
ㄇㄜ me
ㄇㄜˋ me
ㄇㄜ˙ me
ㄇㄞ mai
ㄇㄞˇ mai
ㄇㄞˊ mai
ㄇㄞˋ mai
ㄇㄟ mei
ㄇㄟˇ mei
ㄇㄟˊ mei
ㄇㄟˋ mei
ㄇㄠ mao
ㄇㄠˇ mao
ㄇㄠˊ mao
ㄇㄠˋ mao
ㄇㄡˇ mou
ㄇㄡˊ mou
ㄇㄡˋ mou
ㄇㄢ man
ㄇㄢ man
ㄇㄢˇ man
ㄇㄢˊ man
ㄇㄢˋ man
ㄇㄣ men
ㄇㄣˇ men
ㄇㄣˊ men
ㄇㄣˋ men
ㄇㄣ˙ men
ㄇㄤ mang
ㄇㄤˇ mang
ㄇㄤˊ mang
ㄇㄤˋ mang
ㄇㄥ meng
ㄇㄥˇ meng
ㄇㄥˊ meng
ㄇㄥˋ meng
ㄇㄧ mi
ㄇㄧˇ mi
ㄇㄧˊ mi
ㄇㄧˋ mi
ㄇㄧㄝ mie
ㄇㄧㄝˊ mie
ㄇㄧㄝˋ mie
ㄇㄧㄠ miao
