ㄅ b
ㄅㄚ ba
ㄅㄚˇ ba3
ㄅㄚˊ ba2
ㄅㄚˋ ba4
ㄅㄚ˙ ba5
ㄅㄛ bo
ㄅㄛˇ bo3
ㄅㄛˊ bo2
ㄅㄛˋ bo4
ㄅㄛ˙ bo5
ㄅㄞ bai
ㄅㄞˇ bai3
ㄅㄞˊ bai2
ㄅㄞˋ bai4
ㄅㄞ˙ bai5
ㄅㄟ bei
ㄅㄟˇ bei3
ㄅㄟˋ bei4
ㄅㄟ˙ bei5
ㄅㄠ bao
ㄅㄠˇ bao3
ㄅㄠˊ bao2
ㄅㄠˋ bao4
ㄅㄢ ban
ㄅㄢˇ ban3
ㄅㄢˋ ban4
ㄅㄣ ben
ㄅㄣˇ ben3
ㄅㄣˊ ben2
ㄅㄣˋ ben4
ㄅㄤ bang
ㄅㄤˇ bang3
ㄅㄤˋ bang4
ㄅㄥ beng
ㄅㄥˇ beng3
ㄅㄥˊ beng2
ㄅㄥˋ beng4
ㄅㄧ bi
ㄅㄧˇ bi3
ㄅㄧˊ bi2
ㄅㄧˋ bi4
ㄅㄧㄝ bie
ㄅㄧㄝˇ bie3
ㄅㄧㄝˊ bie2
ㄅㄧㄝˋ bie4
ㄅㄧㄠ biao
ㄅㄧㄠˇ biao3
ㄅㄧㄠˋ biao4
ㄅㄧㄢ bian
ㄅㄧㄢˇ bian3
ㄅㄧㄢˊ bian2
ㄅㄧㄢˋ bian4
ㄅㄧㄣ bin
ㄅㄧㄣˇ bin3
ㄅㄧㄣˊ bin2
ㄅㄧㄣˋ bin4
ㄅㄧㄥ bing
ㄅㄧㄥˇ bing3
ㄅㄧㄥˋ bing4
ㄅㄨ bu
ㄅㄨˇ bu3
ㄅㄨˊ bu2
ㄅㄨˋ bu4
ㄅㄨㄛˊ buo2
ㄆ p
ㄆㄚ pa
ㄆㄚˇ pa3
ㄆㄚˊ pa2
ㄆㄚˋ pa4
ㄆㄚ˙ pa5
ㄆㄛ po
ㄆㄛˇ po3
ㄆㄛˊ po2
ㄆㄛˋ po4
ㄆㄞ pai
ㄆㄞˇ pai3
ㄆㄞˊ pai2
ㄆㄞˋ pai4
ㄆㄟ pei
ㄆㄟˇ pei3
ㄆㄟˊ pei2
ㄆㄟˋ pei4
ㄆㄠ pao
ㄆㄠˇ pao3
ㄆㄠˊ pao2
ㄆㄠˋ pao4
ㄆㄡ pou
ㄆㄡˇ pou3
ㄆㄡˊ pou2
ㄆㄡˋ pou4
ㄆㄢ pan
ㄆㄢˇ pan3
ㄆㄢˊ pan2
ㄆㄢˋ pan4
ㄆㄣ pen
ㄆㄣˇ pen3
ㄆㄣˊ pen2
ㄆㄣˋ pen4
ㄆㄤ pang
ㄆㄤˇ pang3
ㄆㄤˊ pang2
ㄆㄤˋ pang4
ㄆㄥ peng
ㄆㄥˇ peng3
ㄆㄥˊ peng2
ㄆㄥˋ peng4
ㄆㄧ pi
ㄆㄧˇ pi3
ㄆㄧˊ pi2
ㄆㄧˋ pi4
ㄆㄧㄚ pia
ㄆㄧㄝ pie
ㄆㄧㄝˇ pie3
ㄆㄧㄝˋ pie4
ㄆㄧㄠ piao
ㄆㄧㄠˇ piao3
ㄆㄧㄠˊ piao2
ㄆㄧㄠˋ piao4
ㄆㄧㄢ pian
ㄆㄧㄢˇ pian3
ㄆㄧㄢˊ pian2
ㄆㄧㄢˋ pian4
ㄆㄧㄣ pin
ㄆㄧㄣˇ pin3
ㄆㄧㄣˊ pin2
ㄆㄧㄣˋ pin4
ㄆㄧㄥ ping
ㄆㄧㄥˇ ping3
ㄆㄧㄥˊ ping2
ㄆㄧㄥˋ ping4
ㄆㄨ pu
ㄆㄨˇ pu3
ㄆㄨˊ pu2
ㄆㄨˋ pu4
ㄇ m
ㄇㄚ ma
ㄇㄚˇ ma3
ㄇㄚˊ ma2
ㄇㄚˋ ma4
ㄇㄚ˙ ma5
ㄇㄛ mo
ㄇㄛˇ mo3
ㄇㄛˊ mo2
ㄇㄛˋ mo4
ㄇㄛ˙ mo5
ㄇㄜ me
ㄇㄜˋ me4
ㄇㄜ˙ me5
ㄇㄞ mai
ㄇㄞˇ mai3
ㄇㄞˊ mai2
ㄇㄞˋ mai4
ㄇㄟ mei
ㄇㄟˇ mei3
ㄇㄟˊ mei2
ㄇㄟˋ mei4
ㄇㄠ mao
ㄇㄠˇ mao3
ㄇㄠˊ mao2
ㄇㄠˋ mao4
ㄇㄡˇ mou3
ㄇㄡˊ mou2
ㄇㄡˋ mou4
ㄇㄢ man
ㄇㄢˇ man3
ㄇㄢˊ man2
ㄇㄢˋ man4
ㄇㄣ men
ㄇㄣˇ men3
ㄇㄣˊ men2
ㄇㄣˋ men4
ㄇㄣ˙ men5
ㄇㄤ mang
ㄇㄤˇ mang3
ㄇㄤˊ mang2
ㄇㄤˋ mang4
ㄇㄥ meng
ㄇㄥˇ meng3
ㄇㄥˊ meng2
ㄇㄥˋ meng4
ㄇㄧ mi
ㄇㄧˇ mi3
ㄇㄧˊ mi2
ㄇㄧˋ mi4
ㄇㄧㄝ mie
ㄇㄧㄝˊ mie2
ㄇㄧㄝˋ mie4
ㄇㄧㄠ miao
ㄇㄧㄠˇ miao3
ㄇㄧㄠˊ miao2
ㄇㄧㄠˋ miao4
ㄇㄧㄡ miu
ㄇㄧㄡˇ miu3
ㄇㄧㄡˊ miu2
ㄇㄧㄡˋ miu4
ㄇㄧㄢ mian
ㄇㄧㄢˇ mian3
ㄇㄧㄢˊ mian2
ㄇㄧㄢˋ mian4
ㄇㄧㄣˇ min3
ㄇㄧㄣˊ min2
ㄇㄧㄥˇ ming3
ㄇㄧㄥˊ ming2
ㄇㄧㄥˋ ming4
ㄇㄨˇ mu3
ㄇㄨˊ mu2
ㄇㄨˋ mu4
ㄈ f
ㄈㄚ fa
ㄈㄚˇ fa3
ㄈㄚˊ fa2
ㄈㄚˋ fa4
ㄈㄛˊ fo2
ㄈㄟ fei
ㄈㄟˇ fei3
ㄈㄟˊ fei2
ㄈㄟˋ fei4
ㄈㄡ fou
ㄈㄡˇ fou3
ㄈㄡˊ fou2
ㄈㄡˋ fou4
ㄈㄢ fan
ㄈㄢˇ fan3
ㄈㄢˊ fan2
ㄈㄢˋ fan4
ㄈㄣ fen
ㄈㄣˇ fen3
ㄈㄣˊ fen2
ㄈㄣˋ fen4
ㄈㄤ fang
ㄈㄤˇ fang3
ㄈㄤˊ fang2
ㄈㄤˋ fang4
ㄈㄥ feng
ㄈㄥˇ feng3
ㄈㄥˊ feng2
ㄈㄥˋ feng4
ㄈㄧㄠˋ fiao4
ㄈㄨ fu
ㄈㄨˇ fu3
ㄈㄨˊ fu2
ㄈㄨˋ fu4
ㄈㄨㄥˋ fong4
ㄉ d
ㄉㄚ da
ㄉㄚˇ da3
ㄉㄚˊ da2
ㄉㄚˋ da4
ㄉㄚ˙ da5
ㄉㄜ de
ㄉㄜˊ de2
ㄉㄜ˙ de5
ㄉㄞ dai
ㄉㄞˇ dai3
ㄉㄞˋ dai4
ㄉㄟˇ dei3
ㄉㄠ dao
ㄉㄠˇ dao3
ㄉㄠˊ dao2
ㄉㄠˋ dao4
ㄉㄡ dou
ㄉㄡˇ dou3
ㄉㄡˊ dou2
ㄉㄡˋ dou4
ㄉㄢ dan
ㄉㄢˇ dan3
ㄉㄢˊ dan2
ㄉㄢˋ dan4
ㄉㄣˋ den4
ㄉㄤ dang
ㄉㄤˇ dang3
ㄉㄤˋ dang4
ㄉㄥ deng
ㄉㄥˇ deng3
ㄉㄥˋ deng4
ㄉㄧ di
ㄉㄧˇ di3
ㄉㄧˊ di2
ㄉㄧˋ di4
ㄉㄧㄚ dia
ㄉㄧㄝ die
ㄉㄧㄝˇ die3
ㄉㄧㄝˊ die2
ㄉㄧㄝˋ die4
ㄉㄧㄠ diao
ㄉㄧㄠˇ diao3
ㄉㄧㄠˊ diao2
ㄉㄧㄠˋ diao4
ㄉㄧㄡ diu
ㄉㄧㄢ dian
ㄉㄧㄢˇ dian3
ㄉㄧㄢˊ dian2
ㄉㄧㄢˋ dian4
ㄉㄧㄥ ding
ㄉㄧㄥˇ ding3
ㄉㄧㄥˊ ding2
ㄉㄧㄥˋ ding4
ㄉㄨ du
ㄉㄨˇ du3
ㄉㄨˊ du2
ㄉㄨˋ du4
ㄉㄨㄛ duo
ㄉㄨㄛˇ duo3
ㄉㄨㄛˊ duo2
ㄉㄨㄛˋ duo4
ㄉㄨㄛ˙ duo5
ㄉㄨㄟ dui
ㄉㄨㄟˇ dui3
ㄉㄨㄟˋ dui4
ㄉㄨㄢ duan
ㄉㄨㄢˇ duan3
ㄉㄨㄢˋ duan4
ㄉㄨㄣ dun
ㄉㄨㄣˇ dun3
ㄉㄨㄣˋ dun4
ㄉㄨㄥ dong
ㄉㄨㄥˇ dong3
ㄉㄨㄥˋ dong4
ㄊ t
ㄊㄚ ta
ㄊㄚˇ ta3
ㄊㄚˊ ta2
ㄊㄚˋ ta4
ㄊㄜˋ te4
ㄊㄞ tai
ㄊㄞˇ tai3
ㄊㄞˊ tai2
ㄊㄞˋ tai4
ㄊㄞ˙ tai5
ㄊㄠ tao
ㄊㄠˇ tao3
ㄊㄠˊ tao2
ㄊㄠˋ tao4
ㄊㄠ˙ tao5
ㄊㄡ tou
ㄊㄡˇ tou3
ㄊㄡˊ tou2
ㄊㄡˋ tou4
ㄊㄡ˙ tou5
ㄊㄢ tan
ㄊㄢˇ tan3
ㄊㄢˊ tan2
ㄊㄢˋ tan4
ㄊㄤ tang
ㄊㄤˇ tang3
ㄊㄤˊ tang2
ㄊㄤˋ tang4
ㄊㄥ teng
ㄊㄥˊ teng2
